time,value
0,0
0.01,0
0.02,0.4456
0.03,-0.0897584
0.04,0.70212
0.05,-0.527949
0.06,1.25104
0.07,-1.10502
0.08,1.94444
0.09,-2.15094
0.1,3.61725
0.11,-4.56273
0.12,6.78295
0.13,-8.6062
0.14,12.2221
0.15,-16.3149
0.16,23.2204
0.17,-31.9966
0.18,43.9086
0.19,-60.0534
0.2,82.4669
0.21,-113.513
0.22,156.437
0.23,-215.149
0.24,295.524
0.25,-405.76
0.26,557.71
0.27,-767.062
0.28,1055.11
0.29,-1450.52
0.3,1993.47
0.31,-2739.63
0.32,3766.17
0.33,-5178.18
0.34,7119.87
0.35,-9787.06
0.36,13453.7
0.37,-18493.2
0.38,25423.4
0.39,-34950.6
0.4,48048.5
0.41,-66051.1
0.42,90799
0.43,-124819
0.44,171591
0.45,-235888
0.46,324278
0.47,-445783
0.48,612815
0.49,-842435
0.5,1.1581e+06
0.51,-1.59204e+06
0.52,2.18859e+06
0.53,-3.00865e+06
0.54,4.13599e+06
0.55,-5.68574e+06
0.56,7.8162e+06
0.57,-1.07449e+07
0.58,1.47711e+07
0.59,-2.03058e+07
0.6,2.79144e+07
0.61,-3.8374e+07
0.62,5.27527e+07
0.63,-7.25192e+07
0.64,9.96922e+07
0.65,-1.37047e+08
0.66,1.88399e+08
0.67,-2.58992e+08
0.68,3.56036e+08
0.69,-4.89443e+08
0.7,6.72838e+08
0.71,-9.2495e+08
0.72,1.27153e+09
0.73,-1.74797e+09
0.74,2.40294e+09
0.75,-3.30332e+09
0.76,4.54108e+09
0.77,-6.24263e+09
0.78,8.58175e+09
0.79,-1.17973e+10
0.8,1.62178e+10
0.81,-2.22946e+10
0.82,3.06484e+10
0.83,-4.21324e+10
0.84,5.79195e+10
0.85,-7.9622e+10
0.86,1.09456e+11
0.87,-1.5047e+11
0.88,2.06851e+11
0.89,-2.84358e+11
0.9,3.90907e+11
0.91,-5.37381e+11
0.92,7.38738e+11
0.93,-1.01554e+12
0.94,1.39607e+12
0.95,-1.91918e+12
0.96,2.63829e+12
0.97,-3.62686e+12
0.98,4.98585e+12
0.99,-6.85406e+12
1,9.42228e+12
1.01,-1.29528e+13
1.02,1.78062e+13
1.03,-2.44783e+13
1.04,3.36503e+13
1.05,-4.62591e+13
1.06,6.35924e+13
1.07,-8.74205e+13
1.08,1.20177e+14
1.09,-1.65207e+14
1.1,2.27111e+14
1.11,-3.12209e+14
1.12,4.29194e+14
1.13,-5.90014e+14
1.14,8.11093e+14
1.15,-1.11501e+15
1.16,1.5328e+15
1.17,-2.10715e+15
1.18,2.8967e+15
1.19,-3.98209e+15
1.2,5.47419e+15
1.21,-7.52537e+15
1.22,1.03451e+16
1.23,-1.42215e+16
1.24,1.95502e+16
1.25,-2.68757e+16
1.26,3.69461e+16
1.27,-5.07898e+16
1.28,6.98208e+16
1.29,-9.59827e+16
1.3,1.31948e+17
1.31,-1.81388e+17
1.32,2.49355e+17
1.33,-3.42788e+17
1.34,4.71231e+17
1.35,-6.47802e+17
1.36,8.90534e+17
1.37,-1.22422e+18
1.38,1.68293e+18
1.39,-2.31353e+18
1.4,3.18041e+18
1.41,-4.37211e+18
1.42,6.01035e+18
1.43,-8.26243e+18
1.44,1.13584e+19
1.45,-1.56144e+19
1.46,2.14651e+19
1.47,-2.9508e+19
1.48,4.05647e+19
1.49,-5.57644e+19
1.5,7.66593e+19
1.51,-1.05384e+20
1.52,1.44871e+20
1.53,-1.99154e+20
1.54,2.73777e+20
1.55,-3.76362e+20
1.56,5.17385e+20
1.57,-7.1125e+20
1.58,9.77756e+20
1.59,-1.34412e+21
1.6,1.84777e+21
1.61,-2.54012e+21
1.62,3.49191e+21
1.63,-4.80033e+21
1.64,6.59902e+21
1.65,-9.07168e+21
1.66,1.24708e+22
1.67,-1.71437e+22
1.68,2.35674e+22
1.69,-3.23982e+22
1.7,4.45378e+22
1.71,-6.12261e+22
1.72,8.41676e+22
1.73,-1.15705e+23
1.74,1.5906e+23
1.75,-2.1866e+23
1.76,3.00592e+23
1.77,-4.13224e+23
1.78,5.6806e+23
1.79,-7.80912e+23
1.8,1.07352e+24
1.81,-1.47577e+24
1.82,2.02874e+24
1.83,-2.78891e+24
1.84,3.83392e+24
1.85,-5.2705e+24
1.86,7.24535e+24
1.87,-9.96019e+24
1.88,1.36923e+25
1.89,-1.88228e+25
1.9,2.58757e+25
1.91,-3.55714e+25
1.92,4.89e+25
1.93,-6.72228e+25
1.94,9.24113e+25
1.95,-1.27038e+26
1.96,1.74639e+26
1.97,-2.40076e+26
1.98,3.30033e+26
1.99,-4.53697e+26
2,6.23698e+26
2.01,-8.57398e+26
2.02,1.17867e+27
2.03,-1.62031e+27
2.04,2.22744e+27
2.05,-3.06207e+27
2.06,4.20943e+27
2.07,-5.78671e+27
2.08,7.95499e+27
2.09,-1.09357e+28
2.1,1.50334e+28
2.11,-2.06664e+28
2.12,2.84101e+28
2.13,-3.90554e+28
2.14,5.36894e+28
2.15,-7.38069e+28
2.16,1.01462e+29
2.17,-1.3948e+29
2.18,1.91744e+29
2.19,-2.6359e+29
2.2,3.62358e+29
2.21,-4.98134e+29
2.22,6.84785e+29
2.23,-9.41374e+29
2.24,1.29411e+30
2.25,-1.77901e+30
2.26,2.44561e+30
2.27,-3.36198e+30
2.28,4.62172e+30
2.29,-6.35348e+30
2.3,8.73413e+30
2.31,-1.20068e+31
2.32,1.65058e+31
2.33,-2.26905e+31
2.34,3.11927e+31
2.35,-4.28806e+31
2.36,5.8948e+31
2.37,-8.10358e+31
2.38,1.114e+32
2.39,-1.53142e+32
2.4,2.10524e+32
2.41,-2.89407e+32
2.42,3.97849e+32
2.43,-5.46923e+32
2.44,7.51855e+32
2.45,-1.03358e+33
2.46,1.42086e+33
2.47,-1.95325e+33
2.48,2.68514e+33
2.49,-3.69126e+33
2.5,5.07438e+33
2.51,-6.97576e+33
2.52,9.58958e+33
2.53,-1.31828e+34
2.54,1.81224e+34
2.55,-2.49129e+34
2.56,3.42478e+34
2.57,-4.70805e+34
2.58,6.47215e+34
2.59,-8.89728e+34
2.6,1.22311e+35
2.61,-1.68141e+35
2.62,2.31143e+35
2.63,-3.17753e+35
2.64,4.36815e+35
2.65,-6.0049e+35
2.66,8.25495e+35
2.67,-1.13481e+36
2.68,1.56002e+36
2.69,-2.14456e+36
2.7,2.94813e+36
2.71,-4.0528e+36
2.72,5.57139e+36
2.73,-7.65899e+36
2.74,1.05288e+37
2.75,-1.4474e+37
2.76,1.98974e+37
2.77,-2.7353e+37
2.78,3.76021e+37
2.79,-5.16917e+37
2.8,7.10606e+37
2.81,-9.76871e+37
2.82,1.3429e+38
2.83,-1.84609e+38
2.84,2.53782e+38
2.85,-3.48875e+38
2.86,4.79599e+38
2.87,-6.59305e+38
2.88,9.06347e+38
2.89,-1.24596e+39
2.9,1.71282e+39
2.91,-2.35461e+39
2.92,3.23688e+39
2.93,-4.44975e+39
2.94,6.11707e+39
2.95,-8.40914e+39
2.96,1.15601e+40
2.97,-1.58916e+40
2.98,2.18462e+40
2.99,-3.0032e+40
3,4.1285e+40
3.01,-5.67546e+40
3.02,7.80205e+40
3.03,-1.07255e+41
3.04,1.47443e+41
3.05,-2.02691e+41
3.06,2.78639e+41
3.07,-3.83045e+41
3.08,5.26572e+41
3.09,-7.23879e+41
3.1,9.95118e+41
3.11,-1.36799e+42
3.12,1.88058e+42
3.13,-2.58523e+42
