time,value
0,0
0.01,0
0.02,0
0.03,0
0.04,0.101
0.05,0.102
0.06,0.0828
0.07,0.063198
0.08,0.067634
0.09,0.0762288
0.1,0.0801356
0.11,0.0783942
0.12,-0.0242586
0.13,-0.0248519
0.14,-0.0041299
0.15,0.0165678
0.16,0.0125918
0.17,0.00431611
0.18,0.000938632
0.19,0.0033638
0.2,0.0056858
0.21,0.00587438
0.22,0.00491822
0.23,0.00440473
0.24,0.0045465
0.25,0.00483059
0.26,0.00489613
0.27,0.00480186
0.28,0.00472228
0.29,0.00471823
0.3,0.0047434
0.31,0.00475068
0.32,0.00473702
0.33,0.00472104
0.34,0.00471282
0.35,0.00470927
0.36,0.00470467
0.37,0.0046976
0.38,0.00468981
0.39,0.00468273
0.4,0.00467631
0.41,0.0046699
0.42,0.00466324
0.43,0.00465645
0.44,0.00464973
0.45,0.00464309
0.46,0.00463648
0.47,0.00462985
0.48,0.00462322
0.49,0.00461659
0.5,0.00460998
0.51,0.00460339
0.52,0.0045968
0.53,0.00459022
0.54,0.00458365
0.55,0.00457709
0.56,0.00457054
0.57,0.004564
0.58,0.00455747
0.59,0.00455095
0.6,0.00454443
0.61,0.00453793
0.62,0.00453143
0.63,0.00452495
0.64,0.00451847
0.65,0.00451201
0.66,0.00450555
0.67,0.0044991
0.68,0.00449266
0.69,0.00448623
0.7,0.00447981
0.71,0.0044734
0.72,0.004467
0.73,0.0044606
0.74,0.00445422
0.75,0.00444784
0.76,0.00444148
0.77,0.00443512
0.78,0.00442877
0.79,0.00442243
0.8,0.00441611
0.81,0.00440979
0.82,0.00440347
0.83,0.00439717
0.84,0.00439088
0.85,0.00438459
0.86,0.00437832
0.87,0.00437205
0.88,0.0043658
0.89,0.00435955
0.9,0.00435331
0.91,0.00434708
0.92,0.00434086
0.93,0.00433464
0.94,0.00432844
0.95,0.00432224
0.96,0.00431606
0.97,0.00430988
0.98,0.00430371
0.99,0.00429755
1,0.0042914
1.01,0.00428526
1.02,0.00427913
1.03,0.004273
1.04,0.00426689
1.05,0.00426078
1.06,0.00425468
1.07,0.00424859
1.08,0.00424251
1.09,0.00423644
1.1,0.00423038
1.11,0.00422432
1.12,0.00421828
1.13,0.00421224
1.14,0.00420621
1.15,0.00420019
1.16,0.00419418
1.17,0.00418818
1.18,0.00418218
1.19,0.0041762
1.2,0.00417022
1.21,0.00416425
1.22,0.00415829
1.23,0.00415234
1.24,0.0041464
1.25,0.00414046
1.26,0.00413454
1.27,0.00412862
1.28,0.00412271
1.29,0.00411681
1.3,0.00411092
1.31,0.00410504
1.32,0.00409916
1.33,0.00409329
1.34,0.00408744
1.35,0.00408159
1.36,0.00407574
1.37,0.00406991
1.38,0.00406409
1.39,0.00405827
1.4,0.00405246
1.41,0.00404666
1.42,0.00404087
1.43,0.00403509
1.44,0.00402931
1.45,0.00402355
1.46,0.00401779
1.47,0.00401204
1.48,0.00400629
1.49,0.00400056
1.5,0.00399483
1.51,0.00398912
1.52,0.00398341
1.53,0.00397771
1.54,0.00397201
1.55,0.00396633
1.56,0.00396065
1.57,0.00395498
1.58,0.00394932
1.59,0.00394367
1.6,0.00393803
1.61,0.00393239
1.62,0.00392676
1.63,0.00392114
1.64,0.00391553
1.65,0.00390993
1.66,0.00390433
1.67,0.00389874
1.68,0.00389316
1.69,0.00388759
1.7,0.00388203
1.71,0.00387647
1.72,0.00387092
1.73,0.00386538
1.74,0.00385985
1.75,0.00385433
1.76,0.00384881
1.77,0.0038433
1.78,0.0038378
1.79,0.00383231
1.8,0.00382682
1.81,0.00382135
1.82,0.00381588
1.83,0.00381042
1.84,0.00380496
1.85,0.00379952
1.86,0.00379408
1.87,0.00378865
1.88,0.00378323
1.89,0.00377781
1.9,0.00377241
1.91,0.00376701
1.92,0.00376162
1.93,0.00375623
1.94,0.00375086
1.95,0.00374549
1.96,0.00374013
1.97,0.00373477
1.98,0.00372943
1.99,0.00372409
2,0.00371876
2.01,0.00371344
2.02,0.00370813
2.03,0.00370282
2.04,0.00369752
2.05,0.00369223
2.06,0.00368694
2.07,0.00368167
2.08,0.0036764
2.09,0.00367113
2.1,0.00366588
2.11,0.00366063
2.12,0.00365539
2.13,0.00365016
2.14,0.00364494
2.15,0.00363972
2.16,0.00363451
2.17,0.00362931
2.18,0.00362412
2.19,0.00361893
2.2,0.00361375
2.21,0.00360858
2.22,0.00360341
2.23,0.00359826
2.24,0.00359311
2.25,0.00358797
2.26,0.00358283
2.27,0.0035777
2.28,0.00357258
2.29,0.00356747
2.3,0.00356236
2.31,0.00355726
2.32,0.00355217
2.33,0.00354709
2.34,0.00354201
2.35,0.00353694
2.36,0.00353188
2.37,0.00352683
2.38,0.00352178
2.39,0.00351674
2.4,0.00351171
2.41,0.00350668
2.42,0.00350166
2.43,0.00349665
2.44,0.00349164
2.45,0.00348665
2.46,0.00348166
2.47,0.00347667
2.48,0.0034717
2.49,0.00346673
2.5,0.00346177
2.51,0.00345681
2.52,0.00345187
2.53,0.00344693
2.54,0.00344199
2.55,0.00343707
2.56,0.00343215
2.57,0.00342724
2.58,0.00342233
2.59,0.00341743
2.6,0.00341254
2.61,0.00340766
2.62,0.00340278
2.63,0.00339791
2.64,0.00339305
2.65,0.00338819
2.66,0.00338334
2.67,0.0033785
2.68,0.00337366
2.69,0.00336884
2.7,0.00336401
2.71,0.0033592
2.72,0.00335439
2.73,0.00334959
2.74,0.0033448
2.75,0.00334001
2.76,0.00333523
2.77,0.00333046
2.78,0.00332569
2.79,0.00332093
2.8,0.00331618
2.81,0.00331143
2.82,0.00330669
2.83,0.00330196
2.84,0.00329723
2.85,0.00329251
2.86,0.0032878
2.87,0.0032831
2.88,0.0032784
2.89,0.00327371
2.9,0.00326902
2.91,0.00326434
2.92,0.00325967
2.93,0.003255
2.94,0.00325035
2.95,0.00324569
2.96,0.00324105
2.97,0.00323641
2.98,0.00323178
2.99,0.00322715
3,0.00322253
3.01,0.00321792
3.02,0.00321332
3.03,0.00320872
3.04,0.00320413
3.05,0.00319954
3.06,0.00319496
3.07,0.00319039
3.08,0.00318582
3.09,0.00318126
3.1,0.00317671
3.11,0.00317216
3.12,0.00316762
3.13,0.00316309
3.14,0.00315856
3.15,0.00315404
3.16,0.00314953
3.17,0.00314502
3.18,0.00314052
3.19,0.00313602
3.2,0.00313154
3.21,0.00312705
3.22,0.00312258
3.23,0.00311811
3.24,0.00311365
3.25,0.00310919
3.26,0.00310474
3.27,0.0031003
3.28,0.00309586
3.29,0.00309143
3.3,0.003087
3.31,0.00308259
3.32,0.00307817
3.33,0.00307377
3.34,0.00306937
3.35,0.00306498
3.36,0.00306059
3.37,0.00305621
3.38,0.00305184
3.39,0.00304747
3.4,0.00304311
3.41,0.00303875
3.42,0.0030344
3.43,0.00303006
3.44,0.00302572
3.45,0.00302139
3.46,0.00301707
3.47,0.00301275
3.48,0.00300844
3.49,0.00300413
3.5,0.00299983
3.51,0.00299554
3.52,0.00299125
3.53,0.00298697
3.54,0.0029827
3.55,0.00297843
3.56,0.00297417
3.57,0.00296991
3.58,0.00296566
3.59,0.00296141
3.6,0.00295718
3.61,0.00295294
3.62,0.00294872
3.63,0.0029445
3.64,0.00294028
3.65,0.00293607
3.66,0.00293187
3.67,0.00292768
3.68,0.00292349
3.69,0.0029193
3.7,0.00291512
3.71,0.00291095
3.72,0.00290679
3.73,0.00290262
3.74,0.00289847
3.75,0.00289432
3.76,0.00289018
